"Table 2.2: Crop production by Region, 2008",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West,,,,,,,,,,
1,Maize,Area planted (Ha),"54,140.0","112,498.0","3,106.0","45,228.0","142,311.0","145,024.0","204,399.0","77,351.0","23,763.0","38,438.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"77,553.0","225,214.0","2,763.0","72,858.0","280,806.0","182,848.0","402,688.0","131,857.0","38,256.0","55,233.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"53,308.0","65,342.0","63,581.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"66,108.0","68,362.0","59,365.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,1.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"14,883","3,935","1,945","18,134","7,047","9,294","3,567","43,312","26,934","3,745",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"19,067","4,819","2,679","43,944","17,757","10,589","4,810","105,497","86,418","6,341",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"74,682.0","96,602.0","100,253.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"98,809.0","125,177.0","102,032.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,1.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"72,671.0","125,878.0","6,522.0","100,518.0","182,366.0","116,942.0","177,347.0","57,678.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"707,894.0","1,992,384.0","64,279.0","1,357,227.0","2,929,343.0","1,205,218.0","2,489,550.0","605,201.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),10.0,16.0,10.0,14.0,16.0,10.0,14.0,10.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"41,928.0","16,931.0",                   -   ,"6,151.0","49,328.0","82,371.0","55,143.0",                       -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"253,714.0","91,771.0",                   -   ,"42,883.0","408,803.0","519,014.0","372,149.0",                       -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,5.0,                   -   ,7.0,8.0,6.0,6.0,                       -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"56,215.0","16,491.0",                   -   ,"8,028.0","79,656.0","89,287.0","62,137.0",                       -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"558,083.0","157,838.0",                   -   ,"59,437.0","764,679.0","915,508.0","882,145.0",                       -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),10.0,8.0,                   -   ,7.0,10.0,10.0,11.0,                       -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"11,980","2,902",                   -   ,"25,547","38,682","31,497","118,147","98,379",                   -   ,"20,432",,,,,,,,,,
2,,Area harvested (Ha),"99,719","16,900",                   -   ,"352,190","686,875","388,548","1,958,932","1,082,349",                   -   ,"309,334",,,,,,,,,,
3,,Farm Count,,,,,,,,,,,,,,,,,,,,
4,,Yield (Mt/Ha),8.0,6.0,                   -   ,14.0,18.0,12.0,17.0,11.0,                   -   ,15.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"34,424","13,517","13,883",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,"48,853","13,136","12,804",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,1.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,"43,562.0",                       -   ,"110,948.0","73,150.0","122,996.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,"63,165.0",                       -   ,"147,539.0","89,810.0","169,586.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,1.0,                       -   ,1.0,1.0,1.0,,,,,,,,,,
