Year,Crops,Topic, Volta , Eastern , Ashanti , Brong Ahafo ,North East,Savannah,Northern,Upper East,Upper West
2015,Soya Bean,Area planted (Ha),"3,238.0",                         -   ,                         -   ,                         -   ,,,,,
2015,Soya Bean,Area harvested (Ha),,,,,,,,,
2015,Soya Bean,Farm Count,"2,520.0",                         -   ,                         -   ,                         -   ,,,,,
2015,Soya Bean,Yield (Mt/Ha),1.0,                         -   ,                         -   ,                         -   ,,,,,
2015,Groundnut,Area planted (Ha),                         -   ,"10,463.0","6,242.0","13,909.0",,,,,
2015,Groundnut,Area harvested (Ha),,,,,,,,,
2015,Groundnut,Farm Count,                         -   ,"13,080.0","7,840.0","13,520.0",,,,,
2015,Groundnut,Yield (Mt/Ha),                         -   ,1.0,1.0,1.0,,,,,
2016,Soya Bean,Area planted (Ha),"3,263.0",                         -   ,                         -   ,                         -   ,,,,,
2016,Soya Bean,Area harvested (Ha),,,,,,,,,
2016,Soya Bean,Farm Count,"2,498.0",                         -   ,                         -   ,                         -   ,,,,,
2016,Soya Bean,Yield (Mt/Ha),1.0,                         -   ,                         -   ,                         -   ,,,,,
2016,Groundnut,Area planted (Ha),                         -   ,"7,979.0","5,107.0","12,136.0",,,,,
2016,Groundnut,Area harvested (Ha),,,,,,,,,
2016,Groundnut,Farm Count,                         -   ,"13,167.0","8,002.0","13,747.0",,,,,
2016,Groundnut,Yield (Mt/Ha),                         -   ,2.0,2.0,1.0,,,,,
2017,Soya Bean,Area planted (Ha),"3,450",                         -   ,                         -   ,                         -   ,,,,,
2017,Soya Bean,Area harvested (Ha),,,,,,,,,
2017,Soya Bean,Farm Count,"3,326",                         -   ,                         -   ,                         -   ,,,,,
2017,Soya Bean,Yield (Mt/Ha),1,                         -   ,                         -   ,                         -   ,,,,,
2017,Groundnut,Area planted (Ha),                         -   ,"7,978","5,209","12,379",,,,,
2017,Groundnut,Area harvested (Ha),,,,,,,,,
2017,Groundnut,Farm Count,                         -   ,"13,563","8,334","14,171",,,,,
2017,Groundnut,Yield (Mt/Ha),                         -   ,2,2,1,,,,,
2018,Soya Bean,Area planted (Ha),"3,566.0",                         -   ,                         -   ,                         -   ,,,68541,15903,14994
2018,Soya Bean,Area harvested (Ha),,,,,,,0,26,0
2018,Soya Bean,Farm Count,"3,746.0",                         -   ,                         -   ,                         -   ,,,126759,18959,27233
2018,Soya Bean,Yield (Mt/Ha),1.0,                         -   ,                         -   ,                         -   ,,,2,27,2
2018,Groundnut,Area planted (Ha),                         -   ,"8,071.0","5,518.0","17,014.0",,,97696,37818,153591
2018,Groundnut,Area harvested (Ha),,,,,,,0,26,0
2018,Groundnut,Farm Count,                         -   ,"13,750.0","9,168.0","16,797.0",,,174567,44458,262317
2018,Groundnut,Yield (Mt/Ha),                         -   ,2.0,1.0,2.0,,,1,28,2
2019,Soya Bean,Area planted (Ha),,,,,,,0,26,0
